	timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1757,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1767,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1777,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1787,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1797,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1807,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1817,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1827,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1837,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1847,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1857,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1867,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1877,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1887,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1897,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1907,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1917,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1927,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1937,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1947,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1957,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1967,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1977,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1987,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1997,-17.40,-0.57,1.73,-1.04,15.93,-12.27
